"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"203",34,"f","grow",0.0551620153778018,0.000356077851421464,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
"204",34,"f","mass",6.55625,0.0152266553818742,40,40,15,30,"med","high","strong","none",24,40,64,157.35,300.4,457.75
"205",35,"d","emer",93.75,0.514867110063986,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"206",35,"d","grow",0.146121892570253,0.000923034907836991,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"207",35,"d","mass",7.33625,0.0161175258468252,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"208",35,"f","emer",136.785714285714,0.993143403160884,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"209",35,"f","grow",0.0594188253484448,0.000499594356502956,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"210",35,"f","mass",6.71428571428571,0.015664733251251,40,40,15,30,"med","high","strong","none",28,40,68,188,293.45,481.45
"211",36,"d","emer",88.4102564102564,0.459235442774177,40,40,15,30,"med","high","strong","none",29,39,68,192.35,287.6,479.95
"212",36,"d","grow",0.146811147322762,0.00081764055139089,40,40,15,30,"med","high","strong","none",29,39,68,192.35,287.6,479.95
"213",36,"d","mass",7.37435897435897,0.0141908407362179,40,40,15,30,"med","high","strong","none",29,39,68,192.35,287.6,479.95
"214",36,"f","emer",138.103448275862,0.782014187119154,40,40,15,30,"med","high","strong","none",29,39,68,192.35,287.6,479.95
"215",36,"f","grow",0.0576013715920291,0.00045250661503249,40,40,15,30,"med","high","strong","none",29,39,68,192.35,287.6,479.95
